"log2FoldChange"	"padj"
"ENSG00000163629"	3.18049630566218	0.0135404487901644
"ENSG00000029559"	22.2814646207675	5.14879900974307e-09
"ENSG00000172238"	20.9440744449797	3.9119312402689e-08
"ENSG00000182168"	4.43056285843393	0.0324123655177393
"ENSG00000163114"	22.3274640500793	7.67180285291168e-09
"ENSG00000138778"	4.52924066683539	0.0458654548264532
"ENSG00000168743"	5.57872334573644	0.0143342282180172
"ENSG00000164089"	6.85060207103181	0.0143342282180172
"ENSG00000250185"	21.6586405065571	1.61658312966273e-08
"ENSG00000188517"	4.78273687533953	0.0237758462687139
"ENSG00000138792"	4.30203590109706	0.0314465305258032
"ENSG00000145362"	3.23507085916157	0.0195507429892223
"ENSG00000164099"	6.13200627797668	0.000302254720989943
"ENSG00000173376"	5.42069362696176	0.0141325026018463
"ENSG00000109471"	20.6940223552864	5.62830800044724e-08
"ENSG00000196159"	6.39399725733407	0.00749202965793726
"ENSG00000164070"	2.28506291534927	0.0381087728695283
"ENSG00000153132"	7.08088222093861	0.000543908265459912
"ENSG00000109424"	9.92788897917525	0.00404109397839607
"ENSG00000151617"	3.76728285959042	0.0126705533304426
"ENSG00000235606"	21.1275767225221	3.08956218009401e-08
"ENSG00000197410"	7.2334160050203	0.0386059713752765
"ENSG00000171560"	23.8905264740103	3.21872067937577e-09
"ENSG00000171557"	22.3766357081066	7.04050334992669e-09
"ENSG00000164129"	22.6792668780237	5.4646478433304e-09
"ENSG00000151005"	23.0315844074599	5.12862894661485e-09
"ENSG00000038295"	6.08262759941477	0.0183926090866107
"ENSG00000251174"	21.1029771783436	3.19169404081309e-08
"ENSG00000168538"	0.882454321471903	0.0279183157740132
"ENSG00000164305"	-0.862297638691165	0.0108401817822804
"ENSG00000170561"	4.9082941766556	0.0340654473531558
"ENSG00000249541"	20.5117728738641	2.84092174826109e-08
"ENSG00000078295"	4.60533177303728	0.036517964287028
"ENSG00000039139"	6.34280175379633	0.0181437914860517
"ENSG00000183580"	3.23514585369394	0.008713984389107
"ENSG00000250332"	7.10606769150349	0.00770754241825327
"ENSG00000251593"	3.53459507418703	0.0320526435484958
"ENSG00000250118"	21.0450695449475	3.39517096914992e-08
"ENSG00000182631"	22.5956496544827	5.4646478433304e-09
"ENSG00000113600"	5.85810338843463	0.0262302288826531
"ENSG00000250492"	5.50566859475457	0.0123640448204154
"ENSG00000251478"	21.5074979332853	1.9327809024862e-08
"ENSG00000248240"	-2.68685702351049	0.000615569498813545
"ENSG00000213949"	4.34752690627589	0.013569630842045
"ENSG00000248854"	8.50043927432789	0.0464095288666879
"ENSG00000248586"	21.5921420190512	1.74650343759371e-08
"ENSG00000215006"	2.14704548135247	0.0436595078015675
"ENSG00000164326"	21.9216730591806	1.20553377086178e-08
"ENSG00000164325"	21.9564781507022	1.1532318610639e-08
"ENSG00000176928"	3.98864939003658	0.0442122035868819
"ENSG00000248684"	21.631450074218	1.6858476242564e-08
"ENSG00000251066"	8.15054134287614	0.0208637309961415
"ENSG00000251553"	21.4659383209758	2.0227766999544e-08
"ENSG00000145730"	1.92398772782737	0.0314465305258032
"ENSG00000248966"	9.91332248462083	0.0052470937941366
"ENSG00000152495"	2.35502529556776	0.0364219887783426
"ENSG00000249026"	5.18146367706295	0.0489468433347997
"ENSG00000172901"	7.29353215094655	0.0163356292343405
"ENSG00000138829"	4.74409047423813	0.0298671627627075
"ENSG00000164399"	22.2357159811163	8.45634563804679e-09
"ENSG00000164400"	21.4498545480753	2.04801971295616e-08
"ENSG00000145833"	0.668418603890768	0.0270245292648487
"ENSG00000145839"	22.0511677941085	1.06433597343424e-08
"ENSG00000173250"	21.4625950425096	2.0227766999544e-08
"ENSG00000164266"	21.0274471475214	3.46847988400255e-08
"ENSG00000253886"	7.95050144840404	0.00914912780141297
"ENSG00000226650"	5.9023896377192	0.0165746177708494
"ENSG00000246334"	-2.55399789697167	0.000462207155411796
"ENSG00000170074"	6.10724591096737	0.0461102019716978
"ENSG00000244234"	5.97286723576845	0.0340907846945884
"ENSG00000253480"	20.4601638010349	8.41833024489697e-08
"ENSG00000248560"	21.8014650383998	1.36945104239789e-08
"ENSG00000170542"	-1.62682014242048	0.0239512357714164
"ENSG00000232654"	21.3995017468823	2.14609105805125e-08
"ENSG00000216307"	20.9104123837732	4.08386046823504e-08
"ENSG00000217385"	22.3938319504361	6.90722938542818e-09
"ENSG00000124785"	4.39680403300791	0.00807318275791389
"ENSG00000234115"	23.6558736701616	4.15392655910898e-09
"ENSG00000153157"	4.77966034826699	0.0126689393661468
"ENSG00000197977"	3.50468827321879	0.0433566820026597
